title,url
Audacity 4.0,https://github.com/audacity/audacity/releases/tag/Audacity-4.0.0
Pre-Release of Polars 2.0,https://pola.rs/posts/announcing-polars-2/
The Browser's Main Thread Is Expensive,https://kciter.so/posts/the-expensive-main-thread/en/
Invisible Companies,https://colossus.com/article/invisible-companies/
Muse Spark 1.3,https://developer.meta.com/ai/models/muse-spark/
Gemini 3.8 Flash and 3.8 Flash Cyber,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/
"9 Mothers (YC P26) Is Hiring in Austin, TX",https://9mothers.com/careers
What I Learned from My Mom (1941-2026),https://experimentalliving.substack.com/p/what-i-learned-from-my-mom-1941-2026
"Fish Bad, Sugar Good and Other Medieval Ideas About Food",https://lithub.com/fish-bad-sugar-good-and-other-medieval-ideas-about-food/
Three schoolgirls in Kinsale pulled up a pea plant covered in warts (2016),https://scienceblog.com/b-three-schoolgirls-in-kinsale-pulled-up-a-pea-plant-covered-in-warts-and-instead-of-binning-it-spent-three-years-testing-13000-seeds-in-a-spare-bedroom-the-bacteria-living-in-those-warts-made-barley/
Google avoids a breakup of its ad tech business,https://www.nytimes.com/2026/09/02/technology/google-ad-tech-remedies.html
"Three sites made 215,128 “best software” pages for AI. Perplexity cites them",https://trellner.com/reports/manufactured-sources-behind-ai-recommendations/
The Computer Museum of America reclamation project,https://computer-museum.org/wp/
